username,tweet_id,tweet_text,discussion_link,iso_8601_timestamp,datetime_timestamp,images,video_preview
ELRicardoNFT,1723774443841810732,"Wow 1100 followers 

Let’s giveaway 1 $SOL for you 
And x5 WLs 

- follow @el_guardosnft 
- like & rt 
- send your SOL addy 

24H ",https://twitter.com/ELRicardoNFT/status/1723774443841810732,2023-11-12T18:47:08.000Z,2023-11-12 18:47:08,['https://pbs.twimg.com/media/F-wTt5MXwAAAKcf?format=jpg&name=small'],[]
OrangutanNft__,1723787585687077031,"Tahui is giving away two initiation letters to celebrate our Majelis Adat. 

Steps to participate:
---
Follow @OrangutanNft__
Like & Retweet
Tag 3 friends
Join Majelis Adat: https://discord.gg/theactsoforangutan…
--- 
Enjoy your  
---
48hrs
--- 
#CNFTGiveaway #TAOOrangutan",https://twitter.com/OrangutanNft__/status/1723787585687077031,2023-11-12T19:39:21.000Z,2023-11-12 19:39:21,['https://pbs.twimg.com/media/F-wfjr2bAAAzC3k?format=jpg&name=small'],[]
NFTDigiart,1723766198678995257,"Well you go up to 0.12 this quick, your going to get sell offs from the mini profit takers & paperhands ... I recon we will bounce of the trend line around 0.088ish... and continue the steady assent once more... #cro #crofam 
No worried in the slightest, if anything the hype will…",https://twitter.com/NFTDigiart/status/1723766198678995257,2023-11-12T18:14:22.000Z,2023-11-12 18:14:22,['https://pbs.twimg.com/media/F-wLlOaWoAA-wqr?format=jpg&name=small'],[]
KhudheyN,1723781120641130751,"One of the major TV stations in Tanzania, #AzamTV, has reported on the PiNetwork meeting held in Tanzania today.
#Pioneers Let work together to complete our mission
#Web3    #PiCoin #Crypto #BlockChain #PiHackathon #Pi #GCV #X #cryptocurrency #BTC #NFT #DeFi #ETH #news",https://twitter.com/KhudheyN/status/1723781120641130751,2023-11-12T19:13:40.000Z,2023-11-12 19:13:40,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723780636274540544/pu/img/SwxfTLzBASoD8lMt.jpg']
betty_nft,1723818606625214762,"This sort of comment is why people feel scared to pursue self improvement, go to the gym in public, or talk about health journeys.

This comment doesn’t bother me at all (mostly because it is a terrible attempt at an insult and embarrassing for the person who wrote it ) but…",https://twitter.com/betty_nft/status/1723818606625214762,2023-11-12T21:42:37.000Z,2023-11-12 21:42:37,['https://pbs.twimg.com/media/F-w7yvPbEAAHxiY?format=jpg&name=900x900'],[]
LeonidasNFT,1723796000869953905,"Hal Finney predicted on-chain digital collectibles 30 years ago.

He would have loved Ordinals.",https://twitter.com/LeonidasNFT/status/1723796000869953905,2023-11-12T20:12:47.000Z,2023-11-12 20:12:47,['https://pbs.twimg.com/media/F-wmTPQXwAARKEk?format=jpg&name=small'],[]
DestNft,1723787821780230652,"Whitelist contest for 50 spots
Ends in 24 hours 
 
1. Tag 3 friends
2. Like 
3. Retweet 

Collection: Cute Babies
Mint date: 11/14/2023 11:00AM EST on Children’s day
WL price: 0.015 ETH

Visit http://destnft.com for more details
#Whitelist
#nftart
#NFTLaunch",https://twitter.com/DestNft/status/1723787821780230652,2023-11-12T19:40:17.000Z,2023-11-12 19:40:17,[],[]
oosagiNFT,1723787299685634126,"Each trait was meticulously crafted to reflect OOsagi’s spectrum of creativity, rebellion, and self-expression. So, what are our favorites?

@estherliangs: “The ocean waves eyes. I love the ocean from its colors, power, and mysteriousness. ‘Ocean’ is part of my Chinese name too.""",https://twitter.com/oosagiNFT/status/1723787299685634126,2023-11-12T19:38:13.000Z,2023-11-12 19:38:13,['https://pbs.twimg.com/media/F-wfLCVbMAAYegA?format=jpg&name=small'],[]
emma_nft_01,1723752425012473941,"Drop your NFT
We need 17 item's",https://twitter.com/emma_nft_01/status/1723752425012473941,2023-11-12T17:19:38.000Z,2023-11-12 17:19:38,[],[]
Cryptoking,1723765201089262013,"Which JPEG is best?!

(And do I add another or buy ____ #NFT)",https://twitter.com/Cryptoking/status/1723765201089262013,2023-11-12T18:10:24.000Z,2023-11-12 18:10:24,"['https://pbs.twimg.com/media/F-wLT3-bsAAsmby?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-wLT37bsAA-HPi?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-wLT4Aa4AAS0U_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-wLT35aYAA69fo?format=jpg&name=360x360']",[]
monzaNFT,1723777619588517969," Giveaway Alert 
 We just hit 3.7k followers, y’all are absolute legends

To celebrate I’m giving away 3,700 $NEKO AND 3.7 $NEAR EACH to 3 winners 

How to enter:
- Like & RT
- Follow @NEARProtocol, @monzaNFT & @goodfortuneNFT
- Tag 2 friends

#NEAR #NEARisNOW $NEKO",https://twitter.com/monzaNFT/status/1723777619588517969,2023-11-12T18:59:45.000Z,2023-11-12 18:59:45,['https://pbs.twimg.com/media/F-wWm7ZXYAAuC1r?format=jpg&name=small'],[]
tzalligator,1723775605504606676,Drop your #nft art,https://twitter.com/tzalligator/status/1723775605504606676,2023-11-12T18:51:45.000Z,2023-11-12 18:51:45,['https://pbs.twimg.com/media/F-wUxx_WcAA7lfX?format=jpg&name=small'],[]
KhudheyN,1723586499290014114,"Lately, the pi guys have been eating and drinking a lot.
One Pi one world 
#Web3    #PiCoin #Crypto #PiPayment #BlockChain #Picommunity #PiHackathon #Pimining #Pi #GCV #CryptoCommunity #X #cryptocurrency #PiNews #BTC #NFT #DeFi #ETH #news",https://twitter.com/KhudheyN/status/1723586499290014114,2023-11-12T06:20:18.000Z,2023-11-12 06:20:18,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723586445825200128/pu/img/dgVVCt0CO6_l5KEj.jpg']
Ebubechi_GMI,1723783955025973526,shill me your gems ,https://twitter.com/Ebubechi_GMI/status/1723783955025973526,2023-11-12T19:24:55.000Z,2023-11-12 19:24:55,[],[]
hush_web3,1723743591678218364,"Do you refer to this app as X or still Twitter?

Be honest",https://twitter.com/hush_web3/status/1723743591678218364,2023-11-12T16:44:32.000Z,2023-11-12 16:44:32,"['https://pbs.twimg.com/media/F-v3qKgXkAAIbgP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-v3qWpXEAAa86T?format=jpg&name=360x360']",[]
KhudheyN,1723781120641130751,"One of the major TV stations in Tanzania, #AzamTV, has reported on the PiNetwork meeting held in Tanzania today.
#Pioneers Let work together to complete our mission
#Web3    #PiCoin #Crypto #BlockChain #PiHackathon #Pi #GCV #X #cryptocurrency #BTC #NFT #DeFi #ETH #news",https://twitter.com/KhudheyN/status/1723781120641130751,2023-11-12T19:13:40.000Z,2023-11-12 19:13:40,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723780636274540544/pu/img/SwxfTLzBASoD8lMt.jpg']
Piper_web3,1723815288909484069,"GN

Funday's clocked out

See you all when the race begins",https://twitter.com/Piper_web3/status/1723815288909484069,2023-11-12T21:29:26.000Z,2023-11-12 21:29:26,['https://pbs.twimg.com/media/F-w41j4WkAA6z1H?format=jpg&name=small'],[]
TheJanaNFT,1723763120538042699,"GM Web3 

What makes you even better? ",https://twitter.com/TheJanaNFT/status/1723763120538042699,2023-11-12T18:02:08.000Z,2023-11-12 18:02:08,[],[]
KhudheyN,1723689624487264356,"Today, the Pioneers of Tanzania gathered together for a conference held inside the Lamada hotel.
Let support #GCV for all
#Web3    #PiCoin #Crypto #PiPayment #BlockChain #Picommunity #PiHackathon #Pimining #Pi #GCV #CryptoCommunity #X #cryptocurrency #PiNews #BTC #NFT #DeFi",https://twitter.com/KhudheyN/status/1723689624487264356,2023-11-12T13:10:05.000Z,2023-11-12 13:10:05,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723689533764419584/pu/img/uNAvKZM0erIDm2kf.jpg']
RyanWeb0,1723757033214873611,"Did You know You can Get 50% Of the total $RATIO Points From my tweet, JUST BY RE-POSTING ?

You should Try your luck
FOLLOW @RyanWeb0 turn 
Like rt & Comment $RATIO
DONE ",https://twitter.com/RyanWeb0/status/1723757033214873611,2023-11-12T17:37:57.000Z,2023-11-12 17:37:57,['https://pbs.twimg.com/media/F-wD4u0boAEGrkE?format=jpg&name=small'],[]
Crypto_McKenna,1723783080513532028,"Mark my words Web3 Gaming will be the biggest narrative of 2024.

I've spent countless hours documenting what teams are building and now preparing to make a full move into publishing Web3 Gaming research.

Reports dropping very soon.",https://twitter.com/Crypto_McKenna/status/1723783080513532028,2023-11-12T19:21:27.000Z,2023-11-12 19:21:27,['https://pbs.twimg.com/media/F-wbVpgXUAAe-dB?format=jpg&name=small'],[]
moritz_web3,1723747580767879436,"What happened in Web3 this week?

Read this 1-minute recap to stay in the loop ",https://twitter.com/moritz_web3/status/1723747580767879436,2023-11-12T17:00:23.000Z,2023-11-12 17:00:23,['https://pbs.twimg.com/media/F-v7SajbYAE3Pp2?format=jpg&name=small'],[]
Neptune_WEB3,1723717484468212048,"Neptune Network Issue 5 Giveaway
Total prize pool: 100USDT

Require
1. Follow, retweet and like.
2. Reply and quote the tweet with your Neptune TRC20 address.
3. Join Neptune official Telegram group https://t.me/NTNetwork1.
4. Complete # #Gleam https://gleam.io/IQG1w/neptune-network-issue-5-giveaway…
Please…",https://twitter.com/Neptune_WEB3/status/1723717484468212048,2023-11-12T15:00:48.000Z,2023-11-12 15:00:48,['https://pbs.twimg.com/media/F-vcX9_agAArC83?format=jpg&name=small'],[]
web3_wizzard,1723674789380870300,Where are my $RATIO fams hop on the train let’s go to @ethratio,https://twitter.com/web3_wizzard/status/1723674789380870300,2023-11-12T12:11:08.000Z,2023-11-12 12:11:08,['https://pbs.twimg.com/media/F-u5FHSWoAAC22I?format=jpg&name=small'],[]
ixzooo,1723722604542927210,Gm Web3 ,https://twitter.com/ixzooo/status/1723722604542927210,2023-11-12T15:21:08.000Z,2023-11-12 15:21:08,['https://pbs.twimg.com/media/F-vkkmxWAAEB9Si?format=jpg&name=small'],[]
sundaypeter8110,1723810824412631212," Traditional exchanges and banks cannot ignore the importance of integrating Neo into Web3 Blockchain to ensure safe operations and fight corruption. Pi Wallet not only ensures security but also complies with global standards such as Iso20022, Basel3-4 and QFS,",https://twitter.com/sundaypeter8110/status/1723810824412631212,2023-11-12T21:11:42.000Z,2023-11-12 21:11:42,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723810773128880128/pu/img/M3Xjb2ugi1Src8cI.jpg']
KCryptoZs,1723766252433260546,"Hi amazing project been in touch we the great CEO stefan from $XZO Network. It’s been a pleasure working with him!
So much to come.. i’m all for it! 
#web3 #crypto
@Exzo_Network @Exzo_Dev",https://twitter.com/KCryptoZs/status/1723766252433260546,2023-11-12T18:14:35.000Z,2023-11-12 18:14:35,['https://pbs.twimg.com/media/F-wMRQjWgAAXa78?format=jpg&name=small'],[]
MememoneyOk,1723757852441883076,"Upon life's canvas wide, a collection blooms,
Each piece unique, in essence it looms.
Like stars in the night, with a pure radiance,
A universe of singularity, in each, an allure.

#bitmap #oridnals #NFT #Bitcoin #NFTs #WEB3 #crypto #BTC #Binance #bitmappunks",https://twitter.com/MememoneyOk/status/1723757852441883076,2023-11-12T17:41:12.000Z,2023-11-12 17:41:12,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723757322604892160/pu/img/0LsINhfwZ4qho5v5.jpg']
PiNews_6,1723727374888395253,"As blockchain technology becomes more popular and recognized, more and more users will join the #PiNetwork, which will bring more users and transaction volume to businesses/stores.
@PiCoreTeam #Crypto #Web3",https://twitter.com/PiNews_6/status/1723727374888395253,2023-11-12T15:40:06.000Z,2023-11-12 15:40:06,['https://pbs.twimg.com/media/F-vo6X3WgAAZJqA?format=jpg&name=small'],[]
TheeCryptoSage,1723766345261596674,This project is going to be huge. Great products built by a great team. One for the bull run. $XZO #web3    #Crypto,https://twitter.com/TheeCryptoSage/status/1723766345261596674,2023-11-12T18:14:57.000Z,2023-11-12 18:14:57,['https://pbs.twimg.com/media/F-wMWyZX0AAGPRF?format=jpg&name=small'],[]
Rsarafas,1723761633279783345,$XZO with #Web3 and #Crypto,https://twitter.com/Rsarafas/status/1723761633279783345,2023-11-12T17:56:13.000Z,2023-11-12 17:56:13,['https://pbs.twimg.com/media/F-wH-bnXwAAxyFv?format=jpg&name=small'],[]
CaleCrypto,1723735347484377333,"CyberKongz has been an integral part of my web3 journey

And now my dreams of acquiring a Genny have finally come true! Big shoutout to @Coco__Bear and the entire Kongz team ",https://twitter.com/CaleCrypto/status/1723735347484377333,2023-11-12T16:11:46.000Z,2023-11-12 16:11:46,['https://pbs.twimg.com/media/F-vpiGWWQAANu6l?format=jpg&name=small'],[]
aditya_web3,1723703621118984621,"May the festival of lights illuminate your life with joy, prosperity, and successful trades! 

Wishing all my fellow crypto enthusiasts a Happy Diwali filled with bullish trends and positive vibes. 

May your portfolios shine as bright as the Diwali diyas! ",https://twitter.com/aditya_web3/status/1723703621118984621,2023-11-12T14:05:42.000Z,2023-11-12 14:05:42,['https://pbs.twimg.com/media/F-vTTXWbkAAjEIq?format=jpg&name=small'],[]
RyanWeb0,1723802556885864505,"Don't worry if Your $RATIO points were not updating, Its Normal and known bug.

You just Keep grinding, Points will be Updated before Epoch2 Claim
Follow @RyanWeb0
Comment $Ratio
DONE",https://twitter.com/RyanWeb0/status/1723802556885864505,2023-11-12T20:38:50.000Z,2023-11-12 20:38:50,['https://pbs.twimg.com/media/F-wtSVXbgAAS7XE?format=jpg&name=small'],[]
PiNetwork24X7,1723723630507634837," Pioneers from Tanzania gathered for a conference held inside the Lamada Hotel.
#PiNetwork #crypto #Blockchain #web3",https://twitter.com/PiNetwork24X7/status/1723723630507634837,2023-11-12T15:25:13.000Z,2023-11-12 15:25:13,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723723551650500608/pu/img/oMpL4MDIwZGBR_Jc.jpg']
PiNewsMedia,1723668838968136069,"As blockchain technology becomes more popular and recognized, more and more users will join the #PiNetwork, which will bring more users and transaction volume to businesses/stores.
@PiCoreTeam #Crypto #Web3",https://twitter.com/PiNewsMedia/status/1723668838968136069,2023-11-12T11:47:30.000Z,2023-11-12 11:47:30,['https://pbs.twimg.com/media/F-uzrHYaAAAlSe5?format=jpg&name=small'],[]
TheOpenChain,1723664437855572082,GM Web3  Here is a quick summary of this weeks news ,https://twitter.com/TheOpenChain/status/1723664437855572082,2023-11-12T11:30:00.000Z,2023-11-12 11:30:00,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723546001997250560/pu/img/Hs1LBJ-TE56a_El4.jpg']
CWEmbassy,1723710533948363215,"Before crypto n web3 I used to do this 

Be proud of your humble beginnings.",https://twitter.com/CWEmbassy/status/1723710533948363215,2023-11-12T14:33:10.000Z,2023-11-12 14:33:10,"['https://pbs.twimg.com/media/F-vZlfNWcAAvKmG?format=jpg&name=small', 'https://pbs.twimg.com/media/F-vZlfJXgAAK4M5?format=jpg&name=small', 'https://pbs.twimg.com/media/F-vZlfNWsAAxnIv?format=jpg&name=small', 'https://pbs.twimg.com/media/F-vZlfPXEAAHRq8?format=jpg&name=small']",[]
saku_web3,1723796008549961975,"Recently discussed with our cfo @madeira_to 
1. The bull market is here, we're sure of it. It's mainly the expectation of ETF, the expectation of rate cuts, and the expectation of the election.

2. When Bitcoin breaks through $31,800 and continues to stand firm, it is an…",https://twitter.com/saku_web3/status/1723796008549961975,2023-11-12T20:12:49.000Z,2023-11-12 20:12:49,[],[]
Defidave420,1723830630704615450,"GN Web3 

Hope you’ve all had a chilled Sunday ",https://twitter.com/Defidave420/status/1723830630704615450,2023-11-12T22:30:24.000Z,2023-11-12 22:30:24,[],[]
KhudheyN,1723633662242029659,"This is a meeting that took place
today in Tanzania, involving various merchants and some government officials. The purpose of this meeting is to encourage merchants to use Pi coin as Means of payments by supporting #GCV price $314159
#Web3 #Pi #Crypto #BTC #NFT #DeFi #ETH #news",https://twitter.com/KhudheyN/status/1723633662242029659,2023-11-12T09:27:43.000Z,2023-11-12 09:27:43,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723633301984796672/pu/img/LlF432wQnnFdTfAj.jpg']
KhudheyN,1723762601195172083,"All pioneers in Tanzania, we believe in the Pi Network and trust the core team. We will continue to support #GCV until reaching the open mainnet, together we can.
#Web3    #PiCoin #Crypto #PiPayment #BlockChain #PiHackathon #Pi #X #PiNews #BTC #NFT #DeFi #ETH #news",https://twitter.com/KhudheyN/status/1723762601195172083,2023-11-12T18:00:04.000Z,2023-11-12 18:00:04,"['https://pbs.twimg.com/media/F-wI6xcWkAAVX4b?format=jpg&name=small', 'https://pbs.twimg.com/media/F-wI7gGWYAAgVsg?format=jpg&name=small', 'https://pbs.twimg.com/media/F-wI7_xX0AArayS?format=jpg&name=small', 'https://pbs.twimg.com/media/F-wI8ZoXkAAUTdt?format=jpg&name=small']",[]
Beerus_Web3,1723816288286322837,"The Holders $HTM who all keep their token from the Launchpad #MultiversX 

Lfg @HatomProtocol ",https://twitter.com/Beerus_Web3/status/1723816288286322837,2023-11-12T21:33:24.000Z,2023-11-12 21:33:24,['https://pbs.twimg.com/media/F-w5xkOXcAAFF1u?format=jpg&name=small'],[]
PiNetworkVNes,1723696944298799111,"Traditional exchanges and banks cannot ignore the importance of integrating Neo into Web3 Blockchain to ensure safe operations and fight corruption. Pi Wallet not only ensures security but also complies with global standards such as Iso20022, Basel3-4 and QFS, establishing a…",https://twitter.com/PiNetworkVNes/status/1723696944298799111,2023-11-12T13:39:10.000Z,2023-11-12 13:39:10,['https://pbs.twimg.com/media/F-vNOwaaYAA3vWp?format=jpg&name=small'],[]
mandemss,1723604239400784048,"Pi will be the most priceless possession ever. Before seeing its vision, one needs to think it through critically and analyze it. Pi is beyond traditional crypto knowledge. #PiNetwork #web3",https://twitter.com/mandemss/status/1723604239400784048,2023-11-12T07:30:48.000Z,2023-11-12 07:30:48,['https://pbs.twimg.com/media/F-t45u8XYAAtKUP?format=jpg&name=small'],[]
0xPolygonLabs,1723729565669838970,"Building a startup is hard. Building in web3 is even harder.

This is where Village Startup Support comes in.

What is the Village Startup Support?
Village Startups Support is personalized, 1:1 support for select startups looking to launch, grow or scale their business.

We know…",https://twitter.com/0xPolygonLabs/status/1723729565669838970,2023-11-12T15:48:48.000Z,2023-11-12 15:48:48,['https://pbs.twimg.com/media/F-vqro6XoAA4aFi?format=jpg&name=small'],[]
muhaj_dev,1723850690412290211,"Yoo!!!... here is it again

Ever checked out @XenaFinance? It's like the gateway to a whole new crypto adventure – web3 and decentralized finance! 

Imagine it as your ticket to a futuristic financial playground. Ready for a sneak peek into what #Xena has in store? Let's dive in.",https://twitter.com/muhaj_dev/status/1723850690412290211,2023-11-12T23:50:06.000Z,2023-11-12 23:50:06,['https://pbs.twimg.com/media/F-xVOmcWcAAd85F?format=jpg&name=small'],[]
HappyCatto94,1723746193040375902,"GN, Web3 Legends! 

Have a good day on your end.

Tomorrow is another start of the week for opportunities and happenings. Stay bullish as always!",https://twitter.com/HappyCatto94/status/1723746193040375902,2023-11-12T16:54:52.000Z,2023-11-12 16:54:52,['https://pbs.twimg.com/media/F-v6BFsaAAAgCS8?format=jpg&name=small'],[]
pride_web3,1723691865944322075,"GM FAM

Last day of the weekend. it means you need to relax as much as possible",https://twitter.com/pride_web3/status/1723691865944322075,2023-11-12T13:19:00.000Z,2023-11-12 13:19:00,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723691844842704896/pu/img/AevgsFZoQp0F0WC8.jpg']
Ste_Cha_FEG,1723672659693645968,"GM #FEG 

What’s happening on the number 1 project in DeFi ? 

Well I think, we may get a few nice surprises this week as we start the build up to the #SmartDeFi Launchpad! 

Groundbreaking web3 tech that powers your #FEGtoken from @lifeisdefi incoming!",https://twitter.com/Ste_Cha_FEG/status/1723672659693645968,2023-11-12T12:02:41.000Z,2023-11-12 12:02:41,['https://pbs.twimg.com/media/F-u3JUMWgAAaUUO?format=jpg&name=small'],[]
9286eth,1723569333581103291,Web2  vs. Web3,https://twitter.com/9286eth/status/1723569333581103291,2023-11-12T05:12:06.000Z,2023-11-12 05:12:06,"['https://pbs.twimg.com/media/F-tZK1pbIAAh0Gq?format=jpg&name=small', 'https://pbs.twimg.com/media/F-tZK10boAAaFuX?format=jpg&name=small']",[]
craigdoesweb3,1723601197792199147,"Gm Web3!   

Have an epic Sunday, legends ",https://twitter.com/craigdoesweb3/status/1723601197792199147,2023-11-12T07:18:43.000Z,2023-11-12 07:18:43,[],['https://pbs.twimg.com/ext_tw_video_thumb/1723601184357748736/pu/img/dhIPWHjY1GS8eO1j.jpg']
GlamourOEtim,1723718421517361416,"@Exzo_Network bridges the gap between @ethereum & @solana by supporting both Rust (Solana) & Solidity (Ethereum) frameworks, allowing developers to seamlessly build on $XZO chain without the hurdle of mastering a new language.  #DeveloperFriendly #ExzoNetwork #blockchain #Web3",https://twitter.com/GlamourOEtim/status/1723718421517361416,2023-11-12T15:04:31.000Z,2023-11-12 15:04:31,['https://pbs.twimg.com/media/F-vgxNOW8AERgQ6?format=jpg&name=small'],[]
trader__34,1723763897478353230,"$XZO #Web3 #Crypto A new story is being written, stay tuned.",https://twitter.com/trader__34/status/1723763897478353230,2023-11-12T18:05:13.000Z,2023-11-12 18:05:13,[],[]
realjaysneezy,1723666585200546247,"Gm Web3

Are you sleeping on Aptos NFTs?",https://twitter.com/realjaysneezy/status/1723666585200546247,2023-11-12T11:38:32.000Z,2023-11-12 11:38:32,"['https://pbs.twimg.com/media/F-uxn3BXgAAPU56?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-uxn3CWoAA3Kob?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-uxn3BX0AAxmKv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F-uxn3BWkAAYlhv?format=jpg&name=360x360']",[]
